Sample	min:D11:0	max:D11:0	min:D11:1	max:D11:1	min:D11:2	max:D11:2	min:D11:3	max:D11:3	min:D11:4	max:D11:4	min:D11:5	max:D11:5	min:D11:6	max:D11:6	min:D11:7	max:D11:7
1814	0.6876878828951476	1.4618800909246659	0.6876878828951476	23.46220676370578	0.6876878828951476	2.1442159414885964	0.6876878828951476	1.535167240623565	0.6876878828951476	5.013704408358677	0.6876878828951476	1.535167240623565	13.587477939779802	37.445545961274746	28.10626079243042	212.4887148620447
1815	0.6973703882666484	1.5634128093842605	0.6973703882666484	24.993064959639838	1.5634128093842605	1.9418621222830552	0.6973703882666484	1.5634128093842605	0.6973703882666484	4.776773710389847	0.6973703882666484	1.5634128093842605	12.959880884270518	36.485869672762135	29.66923216854545	162.01956921526596
1816	0.6832027273543417	1.413522925453293	0.6832027273543417	21.253939220648704	0.6832027273543417	1.413522925453293	0.6832027273543417	1.413522925453293	0.6832027273543417	4.593990051390676	0.6832027273543417	1.413522925453293	13.287180424648284	37.624203153137785	27.51540917924126	184.10477750859337
1817	0.660207797678396	0.695455319126097	0.660207797678396	20.781778906417912	0.660207797678396	1.2074212741384542	0.660207797678396	0.695455319126097	0.660207797678396	0.695455319126097	0.660207797678396	0.695455319126097	14.511142255266293	41.339153836744885	25.41089693149317	166.27018970049744
1818	0.6855837043385407	1.0171565829000144	0.6855837043385407	22.408706621526903	0.6855837043385407	1.0171565829000144	0.6855837043385407	1.0171565829000144	0.6855837043385407	5.077128564416938	0.6855837043385407	1.0171565829000144	13.196233926299385	35.04845146451012	27.55630577856573	157.26841264734392
1819	0.6573302988908551	0.9113706196547469	0.6573302988908551	20.791650484771026	0.6573302988908551	0.9113706196547469	0.6573302988908551	0.9113706196547469	0.6573302988908551	3.8009907986397025	0.6573302988908551	0.9113706196547469	12.623249440783866	37.09742708333991	26.15054398045315	148.33788220807756
1820	0.6906203910499755	0.966254671371729	0.6906203910499755	22.59406148442193	0.6906203910499755	0.966254671371729	0.6906203910499755	0.966254671371729	0.6906203910499755	4.892121181781903	0.6906203910499755	0.966254671371729	13.946478558642497	40.50051174322098	27.146643753133134	163.37895204594543
1821	0.6902594865923106	1.0408642792912133	0.688053313821058	22.184832118780093	0.688053313821058	0.6902594865923106	0.6902594865923106	1.0408642792912133	0.6902594865923106	4.61713085875283	0.6902594865923106	1.0408642792912133	14.055257311452493	36.93037341355888	29.787114357108948	155.79892128952127
1822	0.6766012116842717	0.6958773113129837	0.6766012116842717	20.96042510781305	0.6766012116842717	0.6958773113129837	0.6766012116842717	0.6958773113129837	0.6766012116842717	0.6958773113129837	0.6766012116842717	0.6958773113129837	12.250170899014307	36.9807579453221	24.857207927145765	168.81765819623038
1823	0.7003946857760468	0.9052809394005976	0.7003946857760468	23.731699142725944	0.7003946857760468	0.9052809394005976	0.7003946857760468	0.9052809394005976	0.7003946857760468	6.054774760091135	0.7003946857760468	0.9052809394005976	13.69860233233888	35.85132561958204	26.977593571853333	182.0400688688664
1824	0.6837945767825602	0.9234777656936899	0.6837945767825602	24.235703015215734	0.6837945767825602	0.9234777656936899	0.6837945767825602	0.9234777656936899	0.6837945767825602	4.6333252499810555	0.6837945767825602	0.9234777656936899	13.688049559840266	40.42927498553422	27.919602153443975	182.1789527327321
1825	0.7107047892277194	0.98464659471	0.7107047892277194	22.72295957926727	0.7107047892277194	0.98464659471	0.7107047892277194	0.98464659471	0.7107047892277194	5.763884882376914	0.7107047892277194	0.98464659471	13.497505362012134	36.65568982482333	27.09219912859642	144.32273284458356
1826	0.7014526479822223	1.0528604465263243	0.7014526479822223	21.657975108045946	0.7014526479822223	1.0528604465263243	0.7014526479822223	1.0528604465263243	0.7014526479822223	5.220827859284583	0.7014526479822223	1.0528604465263243	13.631236220182927	45.47083157275395	27.040625374982852	203.3105319777609
1827	0.6818102833711066	0.6933191580137645	0.6818102833711066	24.91678575917979	0.6818102833711066	0.6933191580137645	0.6818102833711066	0.6933191580137645	0.6818102833711066	0.6933191580137645	0.6818102833711066	0.6933191580137645	13.202426635835849	38.96246168878983	27.229896521491128	185.61853044182465
1828	0.7179322573753666	1.0464692209245925	0.7179322573753666	23.494824182945166	0.7179322573753666	1.0464692209245925	0.7179322573753666	1.0464692209245925	0.7179322573753666	4.918038280978834	0.7179322573753666	1.0464692209245925	12.7102075399971	34.236095788875986	30.29062490919995	176.18975553894762
1829	0.711874007580775	0.9699271775981799	0.711874007580775	22.22338335599882	0.711874007580775	0.9699271775981799	0.711874007580775	0.9699271775981799	0.711874007580775	4.669664248553119	0.711874007580775	0.9699271775981799	14.863833802183763	37.9951424131219	25.8177869077403	149.74229042861919
1830	0.6779507839445387	0.8960137590602812	0.6779507839445387	20.89863718422734	0.6779507839445387	0.8960137590602812	0.6779507839445387	0.9853708265357568	0.6779507839445387	4.434072858227552	0.6779507839445387	0.8960137590602812	15.118023591111836	43.21940877714843	23.880770888095924	200.64046954028956
1831	0.7144232103622983	0.970412784466788	0.7144232103622983	22.16739358495809	0.7144232103622983	0.999626784185125	0.7144232103622983	0.999626784185125	0.7144232103622983	4.230564114056477	0.7144232103622983	0.999626784185125	15.316383450519254	37.95752585731381	26.95330837423046	179.96642196111821
