iteration	time	leafsWith	leafsWithout	resultingClade	incomingClade	segments
5	3.37806320163088	9	10	HPAI	HPAI	{3, 5}
5	1.7119390888581165	1	1	HPAI	LPAI	{4}
5	7.4895034630301325	1	2	LPAI	LPAI	{5}
5	3.2467628970853184	25	1	HPAI	LPAI	{4, 6}
5	3.3439876101786012	1	53	HPAI	HPAI	{1, 5, 7}
5	3.2893194313073764	149	31	HPAI	LPAI	{3, 4, 5, 6}
5	2.78793580310753	62	5	HPAI	LPAI	{5, 6}
5	4.155032698629157	1	1	LPAI	LPAI	{4, 5, 6}
5	231.91043312506304	6	364	LPAI	unknown	{7}
5	0.5385625681433339	1	3	HPAI	LPAI	{6}
5	2.988364625068243	2	1	HPAI	HPAI	{2, 5, 6, 7}
5	2.772130224881039	5	3	HPAI	LPAI	{6}
5	2.7018673658220678	1	16	HPAI	HPAI	{1, 2, 4}
5	98.069742209173	3	355	LPAI	LPAI	{1, 4}
5	3.1001405819354204	4	5	HPAI	LPAI	{3}
5	1.5901507728683555	1	3	HPAI	LPAI	{4}
5	0.4791431638063841	1	1	HPAI	HPAI	{1, 3, 4, 5}
5	2.455963412072151	1	1	LPAI	LPAI	{1, 3, 6, 7}
5	0.8096546347776439	27	8	HPAI	LPAI	{1}
5	1.7203632535564566	31	1	HPAI	LPAI	{6}
5	157.46063139427952	3	3	LPAI	LPAI	{1, 5}
5	1.583821026051396	1	30	HPAI	LPAI	{6}
5	34.50884387618066	3	1	LPAI	unknown	{6}
5	2.0084043821924524	6	1	HPAI	LPAI	{5, 6, 7}
5	7.713805539753935	1	2	LPAI	LPAI	{1}
5	0.5966479822104702	1	6	HPAI	LPAI	{7}
5	2.962738510350391	17	1	HPAI	LPAI	{5, 6, 7}
5	2.693640530097923	1	2	HPAI	HPAI	{1, 4}
5	4.843560406292454	5	346	HPAI	LPAI	{6}
5	2.7916977966303875	4	1	HPAI	LPAI	{5, 6}
5	3.205518052065031	9	1	HPAI	HPAI	{1, 3, 5, 7}
5	1.0906428019687837	35	1	HPAI	LPAI	{4, 6, 7}
5	3.022832046622625	1	1	HPAI	LPAI	{4}
5	1.4888392367124652	1	2	HPAI	LPAI	{4, 5, 7}
5	2.1426033179554906	1	2	LPAI	LPAI	{6}
5	1.4942051263640224	28	2	HPAI	LPAI	{4, 6}
5	1.5853242549849256	2	1	HPAI	LPAI	{4, 6}
5	1.9332437897405725	1	1	LPAI	LPAI	{3}
5	3.2500396245865204	25	2	HPAI	LPAI	{4, 6}
5	8.245553981825083	2	1	LPAI	LPAI	{2}
5	3.2386373432033224	30	23	HPAI	LPAI	{7}
5	0.38743662212493746	1	1	HPAI	LPAI	{1}
5	2.65682148428823	1	1	HPAI	HPAI	{2}
6	3.389910748001398	53	214	HPAI	LPAI	{4, 5, 6}
6	2.64901898801628	1	13	HPAI	HPAI	{1, 2, 4}
6	9.271840242133749	1	3	LPAI	LPAI	{1, 3, 4, 6, 7}
6	2.952007287694016	17	1	HPAI	LPAI	{5, 6, 7}
6	5.455046509519718	5	346	HPAI	LPAI	{1, 3, 4, 5, 6, 7}
6	3.1880206808443745	3	1	LPAI	LPAI	{3}
6	272.3120742886728	4	2	LPAI	LPAI	{6}
6	4.076478857404254	1	1	LPAI	LPAI	{4, 5, 6}
6	1.6098834781319056	2	1	HPAI	LPAI	{4, 6}
6	0.540581217131546	1	5	HPAI	LPAI	{6}
6	12.590699832305177	2	4	LPAI	LPAI	{1}
6	1.5787036399183876	28	2	HPAI	LPAI	{4, 6}
6	3.21428090279295	1	1	HPAI	HPAI	{2, 3, 4, 6}
6	0.7909295073141607	27	8	HPAI	LPAI	{1}
6	1.898920441111386	6	1	HPAI	LPAI	{6, 7}
6	99.3406029747905	3	355	LPAI	LPAI	{1}
6	2.9071198467289605	4	1	HPAI	LPAI	{5, 6}
6	3.176448355789944	25	2	HPAI	LPAI	{4, 6}
6	2.81199489212662	1	1	HPAI	HPAI	{3}
6	33.69757925508435	1	3	LPAI	HPAI	{1}
