Sample	min:cow:0	max:cow:0	min:cow:1	max:cow:1	min:cow:2	max:cow:2	min:cow:3	max:cow:3	min:cow:4	max:cow:4	min:cow:5	max:cow:5	min:cow:6	max:cow:6	min:cow:7	max:cow:7
61	1.0621742027240373	1.49241292228038	1.0621742027240373	1.49241292228038	1.0621742027240373	1.49241292228038	1.0621742027240373	1.575707992052827	1.0621742027240373	6.635029599822246	1.0621742027240373	1.49241292228038	1.0621742027240373	3.010889091852931	1.0621742027240373	1.49241292228038
62	1.0293950632208748	1.6302328421666346	1.0293950632208748	1.6302328421666346	1.0293950632208748	1.6302328421666346	1.0293950632208748	1.6302328421666346	1.0293950632208748	6.757721335408036	1.0293950632208748	1.6302328421666346	1.0293950632208748	2.958170491357521	1.0293950632208748	1.6302328421666346
63	1.041811943437125	1.4700689950306582	1.041811943437125	1.4700689950306582	1.041811943437125	1.4700689950306582	1.041811943437125	1.4700689950306582	1.041811943437125	6.497481397383211	1.041811943437125	1.4700689950306582	1.041811943437125	2.9341422434077913	1.041811943437125	1.4700689950306582
64	1.0709392063516816	1.494433196681058	1.0709392063516816	1.494433196681058	1.0709392063516816	1.494433196681058	1.0709392063516816	1.494433196681058	1.0709392063516816	6.93501398593537	1.0709392063516816	1.494433196681058	1.0709392063516816	3.0366196652853716	1.0709392063516816	1.494433196681058
65	1.0666399644748594	1.4859796145487394	1.0666399644748594	1.4859796145487394	1.0666399644748594	1.4859796145487394	1.0666399644748594	1.4859796145487394	1.0666399644748594	5.658210582997185	1.0666399644748594	1.4859796145487394	1.0666399644748594	2.997756630738678	1.0666399644748594	1.5961949939173792
66	1.0275471932338007	1.5219297514970833	1.0275471932338007	1.5219297514970833	1.0275471932338007	1.5219297514970833	1.0275471932338007	1.4129854073696606	1.0275471932338007	6.427776960461358	1.0275471932338007	1.5219297514970833	1.0275471932338007	3.1076351762960996	1.0275471932338007	1.5219297514970833
67	1.0501376539758098	1.4547323361879307	1.0501376539758098	1.4547323361879307	1.0501376539758098	1.7685402527258134	1.0501376539758098	1.4547323361879307	1.0501376539758098	6.6879245390675806	1.0501376539758098	1.4547323361879307	1.0501376539758098	3.204238738262177	1.0501376539758098	1.4547323361879307
68	1.038957691851806	1.5112034107315822	1.038957691851806	1.5112034107315822	1.038957691851806	1.5112034107315822	1.038957691851806	1.5112034107315822	1.038957691851806	6.911301238344606	1.038957691851806	1.5112034107315822	1.038957691851806	3.2061614572793644	1.038957691851806	1.5112034107315822
69	1.101563024566616	1.5405729566351454	1.101563024566616	1.5405729566351454	1.101563024566616	1.5405729566351454	1.101563024566616	1.5953812388409006	1.101563024566616	7.2442983512274	1.101563024566616	1.5405729566351454	1.101563024566616	3.0353248779443334	1.101563024566616	1.5405729566351454
70	1.0495779161405778	1.4316636194044179	1.0495779161405778	1.4316636194044179	1.0495779161405778	1.4867588578992468	1.0495779161405778	1.4316636194044179	1.0495779161405778	6.700262854766294	1.0495779161405778	1.4316636194044179	1.0495779161405778	3.076958091154239	1.0495779161405778	1.4316636194044179
71	1.0854979559999265	1.383754308407191	1.0854979559999265	1.383754308407191	1.0854979559999265	1.6600455630430133	1.0854979559999265	1.383754308407191	1.0854979559999265	6.642708143905253	1.0854979559999265	1.383754308407191	1.0854979559999265	3.163486406162292	1.0854979559999265	1.383754308407191
72	1.1311363877201757	1.5616042825020031	1.1311363877201757	1.6298604505777803	1.1311363877201757	1.5616042825020031	1.1311363877201757	1.5616042825020031	1.1311363877201757	7.012073794783163	1.1311363877201757	1.5616042825020031	1.1311363877201757	3.222942336462154	1.1311363877201757	1.5616042825020031
73	1.1299065781838067	1.5772237913917309	1.1299065781838067	1.5772237913917309	1.1299065781838067	1.5772237913917309	1.1299065781838067	1.5772237913917309	1.1299065781838067	7.330502463537783	1.1299065781838067	1.7157560575071784	1.1299065781838067	3.1260398498543225	1.1299065781838067	1.5772237913917309
74	1.0750695093433649	1.6564748862109866	1.0750695093433649	1.6564748862109866	1.0750695093433649	1.6564748862109866	1.0750695093433649	1.6564748862109866	1.0750695093433649	7.3747112567058934	1.0750695093433649	1.6564748862109866	1.0750695093433649	3.524152296696542	1.0750695093433649	1.6564748862109866
75	1.0597301451108763	1.5450411187549378	1.0597301451108763	1.5450411187549378	1.0597301451108763	1.585707006214733	1.0597301451108763	1.585707006214733	1.0597301451108763	6.210349090305755	1.0597301451108763	1.585707006214733	1.0597301451108763	3.1451171734607897	1.0597301451108763	1.5450411187549378
76	1.0622131122213716	1.5036653058726301	1.0622131122213716	1.5036653058726301	1.0622131122213716	1.756747482385009	1.0622131122213716	1.589726312963876	1.0622131122213716	6.746503291594053	1.0622131122213716	1.5036653058726301	1.0622131122213716	3.3391926886205283	1.0622131122213716	1.5036653058726301
77	1.0884368051951014	1.6075505828105747	1.0884368051951014	1.6075505828105747	1.0884368051951014	1.6075505828105747	1.0884368051951014	1.6176238554391205	1.0884368051951014	5.920437690567695	1.0884368051951014	1.6075505828105747	1.0884368051951014	3.105000154712627	1.0884368051951014	1.6075505828105747
78	1.1319552212307826	1.4974972214819218	1.1319552212307826	1.4974972214819218	1.1319552212307826	1.6382477345062512	1.1319552212307826	1.4974972214819218	1.1319552212307826	6.291069883025415	1.1319552212307826	1.4974972214819218	1.1319552212307826	3.137174106795584	1.1319552212307826	1.4974972214819218
79	1.1516838848158955	1.5716757772356402	1.1516838848158955	1.5716757772356402	1.1516838848158955	1.5716757772356402	1.1516838848158955	1.5716757772356402	1.1516838848158955	5.878332671717857	1.1516838848158955	1.5716757772356402	1.1516838848158955	3.100646690061353	1.1516838848158955	1.5716757772356402
80	1.0703335333457176	1.5778966173165543	1.0703335333457176	1.5778966173165543	1.0703335333457176	1.5965398344253003	1.0703335333457176	1.7515328933326373	1.0703335333457176	6.053878428602758	1.0703335333457176	1.7515328933326373	1.0703335333457176	3.116806164960934	1.0703335333457176	1.6347317900565486
81	1.0608415706004166	1.5322139904134247	1.0608415706004166	1.5322139904134247	1.0608415706004166	1.5322139904134247	1.0608415706004166	1.6261194157053467	1.0608415706004166	6.555004918890745	1.0608415706004166	1.7367538812834766	1.0608415706004166	3.0449205714291736	1.0608415706004166	1.5322139904134247
82	1.1034097286468239	1.5093189016523354	1.1034097286468239	1.5093189016523354	1.1034097286468239	1.5093189016523354	1.1034097286468239	1.5368516599101838	1.1034097286468239	6.029069961986124	1.1034097286468239	1.6305483744417302	1.1034097286468239	2.719106376674432	1.1034097286468239	1.5093189016523354
83	1.129395781140488	1.5315456533257361	1.129395781140488	1.5315456533257361	1.129395781140488	1.5315456533257361	1.129395781140488	1.5315456533257361	1.129395781140488	6.928845563672013	1.129395781140488	1.5462549347062406	1.129395781140488	3.1815244481483944	1.129395781140488	1.5315456533257361
84	1.1319042360829599	1.501398326816883	1.1319042360829599	1.501398326816883	1.1319042360829599	1.501398326816883	1.1319042360829599	1.8451577383318067	1.1319042360829599	6.476941533376049	1.1319042360829599	1.501398326816883	1.1319042360829599	3.233943937252775	1.1319042360829599	1.501398326816883
85	1.1167216823980652	1.5073949121766361	1.1167216823980652	1.5073949121766361	1.1167216823980652	1.630484158131594	1.1167216823980652	1.5073949121766361	1.1167216823980652	7.054026788073713	1.1167216823980652	1.795290104731862	1.1167216823980652	3.2547341887009793	1.1167216823980652	1.5073949121766361
86	1.0840884501495225	1.5566894268676208	1.0840884501495225	1.5566894268676208	1.0840884501495225	1.5566894268676208	1.0840884501495225	1.7597338656863428	1.0840884501495225	6.239649317985823	1.0840884501495225	1.7597338656863428	1.0840884501495225	3.000780064915432	1.0840884501495225	1.5566894268676208
87	1.1285170057830385	1.5727744679921614	1.1285170057830385	1.5727744679921614	1.1285170057830385	1.5727744679921614	1.1285170057830385	1.6550596481910986	1.1285170057830385	6.705436542123209	1.1285170057830385	1.5727744679921614	1.1285170057830385	2.962741965751121	1.1285170057830385	1.5727744679921614
88	1.122105348512207	1.4872396291075063	1.122105348512207	1.4872396291075063	1.122105348512207	1.4872396291075063	1.122105348512207	1.4872396291075063	1.122105348512207	7.199524769448686	1.122105348512207	1.4872396291075063	1.122105348512207	2.949338149562408	1.122105348512207	1.4872396291075063
