#node	date	numeric date
A/Backyard_bird/Michigan/USDA-012454-001/2022|EPI_ISL_18133213|2022-04-22	2022-04-22	2022.305479
NODE_0000177	2022-04-25	2022.312981
NODE_0000178	2022-04-25	2022.313699
A/turkey/Wisconsin/22-012973-001-original/2022|EPI_ISL_16171458|2022-04-25	2022-04-25	2022.313699
A/Great_Horned_Owl/Minnesota/USDA-012668-013/2022|EPI_ISL_18133415|2022-04-25	2022-04-25	2022.313699
NODE_0000179	2022-04-25	2022.313699
A/turkey/Wisconsin/USDA-012973-001/2022|EPI_ISL_18132491|2022-04-25	2022-04-25	2022.313699
NODE_0000181	2022-04-26	2022.315720
NODE_0000182	2022-04-26	2022.316438
A/turkey/Wisconsin/22-012974-002-original/2022|EPI_ISL_16171460|2022-04-26	2022-04-26	2022.316438
A/turkey/Wisconsin/22-012974-001-original/2022|EPI_ISL_16171459|2022-04-26	2022-04-26	2022.316438
NODE_0000183	2022-04-26	2022.316438
A/turkey/Wisconsin/USDA-012974-001/2022|EPI_ISL_18132487|2022-04-26	2022-04-26	2022.316438
NODE_0000184	2022-04-30	2022.326679
A/turkey/Wisconsin/22-013447-002-original/2022|EPI_ISL_16171507|2022-04-30	2022-04-30	2022.327397
NODE_0000187	2022-04-30	2022.327397
A/turkey/Wisconsin/22-013447-001-original/2022|EPI_ISL_16171506|2022-04-30	2022-04-30	2022.327397
NODE_0000188	2022-05-01	2022.329419
A/turkey/Wisconsin/22-013448-002-original/2022|EPI_ISL_16171509|2022-05-01	2022-05-01	2022.330137
NODE_0000191	2022-05-01	2022.330137
A/turkey/Wisconsin/22-013448-001-original/2022|EPI_ISL_16171508|2022-05-01	2022-05-01	2022.330137
NODE_0000194	2022-05-04	2022.338356
A/turkey/Wisconsin/22-014125-001-original/2022|EPI_ISL_16240162|2022-05-04	2022-05-04	2022.338356
NODE_0000195	2022-05-04	2022.339660
A/Red_Fox/SK/FAV-0824-96/2022|EPI_ISL_16367899|2022-05-05	2022-05-05	2022.341096
NODE_0000196	2022-05-05	2022.340378
A/turkey/Wisconsin/22-014126-001-original/2022|EPI_ISL_16240163|2022-05-05	2022-05-05	2022.341096
NODE_0000197	2022-05-05	2022.341096
A/turkey/Wisconsin/22-014126-002-original/2022|EPI_ISL_16240164|2022-05-05	2022-05-05	2022.341096
NODE_0000198	2022-05-11	2022.357534
A/turkey/Wisconsin/22-014948-001-original/2022|EPI_ISL_16243221|2022-05-11	2022-05-11	2022.357534
A/bobcat/Wisconsin/22-016051-001-original/2022|EPI_ISL_15078248|2022-05-24	2022-05-24	2022.393151
NODE_0002741	2022-07-16	2022.537980
NODE_0002751	2022-09-01	2022.667123
A/chicken/Florida/22-033392-001-original/2022|EPI_ISL_16297333|2022-10-17	2022-10-17	2022.793151
A/chicken/Ohio/OH22-20542-1/2022|EPI_ISL_17851847|2022-09-01	2022-09-01	2022.667123
A/chicken/Ohio/OH22-20542-2/2022|EPI_ISL_17851870|2022-09-01	2022-09-01	2022.667123
NODE_0002753	2022-10-18	2022.795890
A/chicken/Florida/22-033918-001-original/2022|EPI_ISL_16297131|2022-10-18	2022-10-18	2022.795890
A/domestic_duck/Florida/22-033918-002-original/2022|EPI_ISL_16297132|2022-10-18	2022-10-18	2022.795890
NODE_0002745	2022-08-18	2022.628506
A/blue-winged_teal/Minnesota/UGAI22-3620/2022|EPI_ISL_17424636|2022-09-15	2022-09-15	2022.705479
NODE_0002746	2022-11-29	2022.912291
A/American_Crow/PEI/FAV-0019-52022|EPI_ISL_17479251|2022-12-28	2022-12-28	2022.990411
NODE_0002747	2022-12-11	2022.943037
A/American_Crow/PEI/FAV-0019-4/2022|EPI_ISL_17479167|2022-12-28	2022-12-28	2022.990411
NODE_0000205	2022-12-26	2022.984932
A/American_Crow/PEI/FAV-0019-2/2022|EPI_ISL_17478907|2022-12-26	2022-12-26	2022.984932
NODE_0000206	2022-12-28	2022.990411
A/American_Crow/PEI/FAV-0019-6/2022|EPI_ISL_17479396|2022-12-28	2022-12-28	2022.990411
