#node	date	numeric date
A/New_Mexico/54/2023|EPI_ISL_18709271|2023-11-27	2023-11-27	2023.905479
NODE_0000099	2023-06-11	2023.442632
A/Oregon/BBI-S24785/2023|EPI_ISL_18921650|2023-12-04	2023-12-04	2023.924658
NODE_0000100	2023-06-25	2023.480778
A/West_Virginia/60/2023|EPI_ISL_18862853|2023-12-18	2023-12-18	2023.963014
NODE_0000105	2023-06-26	2023.484141
A/Connecticut/24/2023|EPI_ISL_18862865|2023-12-19	2023-12-19	2023.965753
NODE_0000106	2023-07-15	2023.535952
A/Nevada/06/2024|EPI_ISL_18862701|2024-01-07	2024-01-07	2024.017760
NODE_0000110	2023-07-17	2023.540989
NODE_0000190	2024-01-14	2024.036885
A/Minnesota/ISC-1037/2024|EPI_ISL_18988637|2024-01-18	2024-01-18	2024.047814
A/Minnesota/ISC-1010/2024|EPI_ISL_18988591|2024-01-14	2024-01-14	2024.036885
NODE_0000112	2023-07-23	2023.558005
NODE_0000192	2024-01-15	2024.039617
A/Utah/IVY-G43R67P2/2024|EPI_ISL_19029018|2024-01-16	2024-01-16	2024.042350
A/Utah/09/2024|EPI_ISL_18919876|2024-01-15	2024-01-15	2024.039617
NODE_0000117	2023-07-27	2023.568101
A/New_York/78/2024|EPI_ISL_19109234|2024-01-20	2024-01-20	2024.053279
NODE_0000119	2023-07-28	2023.570840
A/Oregon/05/2024|EPI_ISL_18919856|2024-01-21	2024-01-21	2024.056011
NODE_0000120	2023-07-30	2023.577237
A/Pennsylvania/11/2024|EPI_ISL_19014405|2024-01-23	2024-01-23	2024.061475
NODE_0000121	2023-08-02	2023.584983
A/Arkansas/14/2024|EPI_ISL_18934471|2024-01-24	2024-01-24	2024.064208
NODE_0000122	2023-12-13	2023.949315
A/Rhode_Island/RISHL24RES029/2023|EPI_ISL_19073500|2023-12-13	2023-12-13	2023.949315
NODE_0000123	2024-01-02	2024.004098
A/California/03/2024|EPI_ISL_18862721|2024-01-02	2024-01-02	2024.004098
NODE_0000124	2024-01-15	2024.039617
A/California/IVY-G43R71F6/2024|EPI_ISL_18981761|2024-01-15	2024-01-15	2024.039617
A/Pennsylvania/21/2024|EPI_ISL_19014434|2024-02-13	2024-02-13	2024.118852
NODE_0000126	2021-09-09	2021.688448
NODE_0000050	2023-03-15	2023.202473
A/Texas/IVY-G43S02B0/2024|EPI_ISL_19072947|2024-03-01	2024-03-01	2024.165301
A/Washington/48/2023|EPI_ISL_18669584|2023-10-29	2023-10-29	2023.826027
NODE_0000052	2023-07-19	2023.545998
A/Michigan/MIS-L373305212/2024|EPI_ISL_18965624|2024-01-13	2024-01-13	2024.034153
A/New_York_City/PV100663/2024|EPI_ISL_19091212|2024-01-03	2024-01-03	2024.006831
NODE_0000054	2023-11-23	2023.894219
A/Ohio/IVY-G43R86B8/2024|EPI_ISL_19067902|2024-02-07	2024-02-07	2024.102459
A/Tennessee/20/2024|EPI_ISL_19050812|2024-03-05	2024-03-05	2024.176230
NODE_0000056	2023-10-28	2023.823866
A/Michigan/UM-10055202789/2023|EPI_ISL_18851969|2023-12-30	2023-12-30	2023.995890
NODE_0000132	2023-12-22	2023.973973
A/Michigan/MIS-L372669561/2023|EPI_ISL_18965641|2023-12-29	2023-12-29	2023.993151
A/Michigan/UM-L372535929/2023|EPI_ISL_18868907|2023-12-22	2023-12-22	2023.973973
NODE_0000136	2021-09-11	2021.693282
NODE_0000032	2022-07-11	2022.524993
A/Massachusetts/44/2023|EPI_ISL_18586486|2023-10-29	2023-10-29	2023.826027
NODE_0000033	2022-11-30	2022.914239
A/California/42/2024|EPI_ISL_19083535|2024-03-13	2024-03-13	2024.198087
A/Michigan/UM-L372279681/2023|EPI_ISL_18869299|2023-12-12	2023-12-12	2023.946575
NODE_0000035	2023-07-09	2023.517858
A/Indiana/17/2023|EPI_ISL_18857390|2023-12-12	2023-12-12	2023.946575
A/Michigan/UM-10056202522/2024|EPI_ISL_19125970|2024-02-27	2024-02-27	2024.157104
A/Washington/UW-82777/2024|EPI_ISL_19178192|2024-01-30	2024-01-30	2024.080601
NODE_0000038	2024-02-08	2024.105191
A/Tennessee/10/2024|EPI_ISL_18990936|2024-02-08	2024-02-08	2024.105191
A/Tennessee/14/2024|EPI_ISL_19014627|2024-02-26	2024-02-26	2024.154372
NODE_0000041	2023-12-22	2023.973973
A/New_York/PV101151/2023|EPI_ISL_18835639|2023-12-22	2023-12-22	2023.973973
A/New_York/PV99939/2023|EPI_ISL_18835774|2023-12-22	2023-12-22	2023.973973
NODE_0000142	2023-11-07	2023.850685
A/Georgia/61/2023|EPI_ISL_18586519|2023-11-07	2023-11-07	2023.850685
NODE_0000144	2023-12-30	2023.995890
A/Washington/14847/2024|EPI_ISL_19034284|2024-02-05	2024-02-05	2024.096995
A/New_York/74/2023|EPI_ISL_18862625|2023-12-30	2023-12-30	2023.995890
NODE_0000045	2023-12-04	2023.924658
A/North_Carolina/14362/2023|EPI_ISL_18768291|2023-12-04	2023-12-04	2023.924658
A/North_Carolina/USAFSAM-14362/2023|EPI_ISL_18870579|2023-12-04	2023-12-04	2023.924658
NODE_0000147	2024-02-27	2024.157104
A/New_Hampshire/38/2024|EPI_ISL_19083637|2024-03-04	2024-03-04	2024.173497
A/Florida/ISC-1139/2024|EPI_ISL_19051217|2024-02-27	2024-02-27	2024.157104
NODE_0000148	2021-09-12	2021.696641
A/Minnesota/IVYD13J43V7/2022|EPI_ISL_16631841|2022-11-08	2022-11-08	2022.853425
NODE_0000149	2021-09-13	2021.700000
A/New_York/PV34639/2021|EPI_ISL_13148826|2021-09-13	2021-09-13	2021.700000
NODE_0000028	2022-10-16	2022.790205
A/Washington/14849/2024|EPI_ISL_19034286|2024-02-05	2024-02-05	2024.096995
A/Texas/IVY-G43R80G5/2024|EPI_ISL_19126029|2024-01-30	2024-01-30	2024.080601
A/Florida/ISC-1128/2024|EPI_ISL_19051198|2024-02-10	2024-02-10	2024.110656
A/Maine/09/2024|EPI_ISL_19014470|2024-02-18	2024-02-18	2024.132514
A/Texas/24/2023|EPI_ISL_18669626|2023-11-13	2023-11-13	2023.867123
A/Indiana/17/2024|EPI_ISL_18991400|2024-02-07	2024-02-07	2024.102459
A/New_York/31/2024|EPI_ISL_19014688|2024-01-31	2024-01-31	2024.083333
A/Georgia/05/2024|EPI_ISL_19014633|2024-02-04	2024-02-04	2024.094262
NODE_0000303	2023-06-28	2023.488470
A/Colorado/ISC-1103/2024|EPI_ISL_19109675|2024-01-02	2024-01-02	2024.004098
A/Washington/UW-15957/2024|EPI_ISL_19178176|2024-02-14	2024-02-14	2024.121585
NODE_0000334	2023-12-02	2023.919178
A/New_York_City/PV101135/2024|EPI_ISL_19091258|2024-01-08	2024-01-08	2024.020492
A/New_Hampshire/26/2023|EPI_ISL_18862534|2023-12-02	2023-12-02	2023.919178
NODE_0000354	2023-09-12	2023.696055
A/Rhode_Island/RISHL24RES086/2023|EPI_ISL_19073358|2023-12-04	2023-12-04	2023.924658
A/Rhode_Island/RISHL24RES015/2023|EPI_ISL_19073446|2023-12-19	2023-12-19	2023.965753
NODE_0000398	2023-03-01	2023.163624
A/Delaware/55/2024|EPI_ISL_19168568|2024-04-10	2024-04-10	2024.274590
A/Pennsylvania/30/2024|EPI_ISL_19083573|2024-03-02	2024-03-02	2024.168033
NODE_0000412	2024-02-16	2024.127049
A/Colorado/36/2024|EPI_ISL_19014513|2024-02-16	2024-02-16	2024.127049
A/Oregon/20/2024|EPI_ISL_19014498|2024-02-17	2024-02-17	2024.129781
NODE_0000422	2023-03-11	2023.190670
A/Minnesota/ISC-1061/2024|EPI_ISL_18988677|2024-02-06	2024-02-06	2024.099727
A/New_Jersey/45/2023|EPI_ISL_18586545|2023-11-05	2023-11-05	2023.845205
NODE_0000428	2023-02-02	2023.089863
A/Kansas/06/2024|EPI_ISL_18934477|2024-01-31	2024-01-31	2024.083333
A/Missouri/32/2023|EPI_ISL_18857363|2023-12-06	2023-12-06	2023.930137
NODE_0000376	2023-02-17	2023.131489
A/Michigan/MIS-L374057273/2024|EPI_ISL_19126271|2024-02-02	2024-02-02	2024.088798
A/Wisconsin/89/2023|EPI_ISL_18586505|2023-10-31	2023-10-31	2023.831507
A/Pennsylvania/34/2024|EPI_ISL_19083640|2024-03-07	2024-03-07	2024.181694
NODE_0000305	2023-03-22	2023.220190
NODE_0000173	2023-10-16	2023.790411
A/Florida/20/2023|EPI_ISL_18527389|2023-10-16	2023-10-16	2023.790411
A/Massachusetts/62/2023|EPI_ISL_18862522|2023-12-05	2023-12-05	2023.927397
NODE_0000307	2023-06-15	2023.453605
A/Nevada/45/2023|EPI_ISL_18669592|2023-11-10	2023-11-10	2023.858904
NODE_0000308	2023-08-12	2023.611426
A/Idaho/59/2023|EPI_ISL_18857309|2023-12-18	2023-12-18	2023.963014
A/Nebraska/21/2023|EPI_ISL_18742655|2023-12-21	2023-12-21	2023.971233
NODE_0000382	2023-07-05	2023.507897
A/Texas/IVY-G43R84H6/2024|EPI_ISL_19126030|2024-02-05	2024-02-05	2024.096995
A/Alabama/03/2023|EPI_ISL_18785848|2023-12-20	2023-12-20	2023.968493
NODE_0000177	2024-01-06	2024.015027
A/Arizona/06/2024|EPI_ISL_18862685|2024-01-06	2024-01-06	2024.015027
NODE_0000179	2024-02-06	2024.099727
A/Kentucky/14731/2024|EPI_ISL_18986854|2024-02-15	2024-02-15	2024.124317
A/Maryland/03/2024|EPI_ISL_19014383|2024-02-06	2024-02-06	2024.099727
NODE_0000441	2023-07-18	2023.544398
A/Michigan/MIS-009868768/2024|EPI_ISL_19131779|2024-02-02	2024-02-02	2024.088798
A/Washington/128/2024|EPI_ISL_19168632|2024-04-06	2024-04-06	2024.263661
NODE_0000443	2023-12-21	2023.971233
A/Massachusetts/18/2024|EPI_ISL_19083487|2024-02-27	2024-02-27	2024.157104
A/Michigan/UM-10055074994/2023|EPI_ISL_18851990|2023-12-21	2023-12-21	2023.971233
NODE_0000183	2024-01-01	2024.001366
A/Ohio/01/2024|EPI_ISL_18886066|2024-01-01	2024-01-01	2024.001366
A/North_Carolina/14/2024|EPI_ISL_19083495|2024-03-02	2024-03-02	2024.168033
NODE_0000389	2023-07-28	2023.570114
A/Delaware/34/2024|EPI_ISL_19052450|2024-02-28	2024-02-28	2024.159836
A/Colorado/ISC-1054/2023|EPI_ISL_19172583|2023-12-19	2023-12-19	2023.965753
A/New_York/83/2024|EPI_ISL_19109243|2024-03-08	2024-03-08	2024.184426
A/Florida/ISC-1107/2024|EPI_ISL_19051177|2024-01-20	2024-01-20	2024.053279
NODE_0000185	2023-12-20	2023.968493
A/Colorado/100/2023|EPI_ISL_18857322|2023-12-20	2023-12-20	2023.968493
NODE_0000186	2024-01-10	2024.025956
A/Illinois/24/2024|EPI_ISL_19014622|2024-02-26	2024-02-26	2024.154372
A/Oklahoma/14619/2024|EPI_ISL_18948007|2024-01-10	2024-01-10	2024.025956
NODE_0000336	2023-02-06	2023.098703
A/North_Dakota/41/2023|EPI_ISL_18709246|2023-11-27	2023-11-27	2023.905479
A/Ohio/29/2023|EPI_ISL_18742776|2023-11-28	2023-11-28	2023.908219
NODE_0000339	2023-11-02	2023.836986
A/Florida/ISC-1110/2024|EPI_ISL_19051169|2024-01-28	2024-01-28	2024.075137
A/North_Dakota/35/2023|EPI_ISL_18586483|2023-11-02	2023-11-02	2023.836986
NODE_0000344	2023-11-02	2023.836986
A/Missouri/28/2023|EPI_ISL_18607637|2023-11-05	2023-11-05	2023.845205
A/Iowa/57/2023|EPI_ISL_18586499|2023-11-02	2023-11-02	2023.836986
NODE_0000209	2023-07-16	2023.538032
A/Michigan/MIS-L373184930/2024|EPI_ISL_18965699|2024-01-08	2024-01-08	2024.020492
NODE_0000191	2023-09-18	2023.713684
